Collection,date,wrf,influent_flow_mg,influent_tss_mg_l,notes
142,2022-01-03,CC,2.55,108,
143,2022-01-05,NO ,5.19,124,
143,2022-01-05,MI,4.11,92,
143,2022-01-05,CC,2.22,108,
144,2022-01-10,NO ,5.29,404,
144,2022-01-10,MI,3.76,212,
144,2022-01-10,CC,1.83,164,
145,2022-01-12,NO ,5.28,755,
145,2022-01-12,MI,3.38,136,
145,2022-01-12,CC,1.66,278,
146,2022-01-17,NO ,5.58,160,
146,2022-01-17,MI,3.92,116,
146,2022-01-17,CC,1.82,180,
147,2022-01-19,NO ,5.56,162,
147,2022-01-19,MI,3.71,56,
147,2022-01-19,CC,1.76,332,
148,2022-01-24,NO ,5.36,98,
148,2022-01-24,MI,3.6,80,
148,2022-01-24,CC,1.86,144,
149,2022-01-26,NO ,5.46,616,
149,2022-01-26,MI,3.41,180,
149,2022-01-26,CC,1.77,172,
150,2022-01-31,NO ,5.03,72,
150,2022-01-31,MI,3.43,44,
150,2022-01-31,CC,1.73,160,
151,2022-02-02,NO ,5.39,82,
151,2022-02-02,MI,3.37,68,
151,2022-02-02,CC,1.75,200,
152,2022-02-07,NO ,5.43,138,
152,2022-02-07,MI,3.91,72,
152,2022-02-07,CC,2.2,128,
153,2022-02-09,NO ,5.58,104,
153,2022-02-09,MI,3.68,184,
153,2022-02-09,CC,1.95,160,
154,2022-02-14,NO ,4.98,326,
154,2022-02-14,MI,3.5,68,
154,2022-02-14,CC,1.8,456,
155,2022-02-16,NO ,5.31,148,
155,2022-02-16,MI,3.43,72,
155,2022-02-16,CC,1.8,424,
156,2022-02-21,NO ,4.95,318,
156,2022-02-21,MI,3.57,100,
156,2022-02-21,CC,1.79,196,
157,2022-02-23,NO ,6.05,296,
157,2022-02-23,MI,4.39,140,
157,2022-02-23,CC,1.95,212,
158,2022-02-28,NO ,5.7,214,
158,2022-02-28,MI,4.12,92,
158,2022-02-28,CC,1.82,200,
159,2022-03-02,NO ,5.55,230,
159,2022-03-02,MI,3.83,140,
159,2022-03-02,CC,1.73,168,
160,2022-03-07,NO ,4.5,130,
160,2022-03-07,MI,3.71,156,
160,2022-03-07,CC,1.55,120,
161,2022-03-09,NO ,8.14,190,
161,2022-03-09,MI,7.45,240,
161,2022-03-09,CC,2.72,780,
162,2022-03-14,NO ,5.88,634,
162,2022-03-14,MI,4.45,116,
162,2022-03-14,CC,2.26,84,
163,2022-03-16,NO ,7.21,622,
163,2022-03-16,MI,6,104,
163,2022-03-16,CC,2.11,248,
164,2022-03-21,NO ,6.01,428,
164,2022-03-21,MI,4.51,96,
164,2022-03-21,CC,2.39,252,
165,2022-03-23,NO ,6.39,146,
165,2022-03-23,MI,4.54,92,
165,2022-03-23,CC,2.08,550,
166,2022-03-28,NO ,5.55,442,
166,2022-03-28,MI,3.98,96,
166,2022-03-28,CC,1.93,132,
167,2022-03-30,NO ,5.83,202,
167,2022-03-30,MI,3.97,106,
167,2022-03-30,CC,1.89,276,
168,2022-04-04,NO ,4.18,368,
168,2022-04-04,MI,3.81,340,
168,2022-04-04,CC,1.84,184,
169,2022-04-06,NO ,8.19,394,
169,2022-04-06,MI,7.72,120,
169,2022-04-06,CC,3.23,116,
170,2022-04-11,NO ,5.63,148,
170,2022-04-11,MI,4.29,112,
170,2022-04-11,CC,2.18,208,
171,2022-04-13,NO ,5.96,278,
171,2022-04-13,MI,4.18,1087,
171,2022-04-13,CC,1.95,76,
172,2022-04-18,NO ,5.55,140,
172,2022-04-18,MI,4.04,272,
