week,avg_vl,avg_pos_rate,cases.symptom.onset,cases.reported,pcr_tests,pcr_pos,case_prop_pos
2021 W41,7527513159381.801,21.296296296296298,24.5,10.5,405,23,5.648810214387338
2021 W42,10501664178165.287,40.27777777777777,14.5,9,399,20.5,5.237613751263903
2021 W43,7857832831629.721,39.35185185185185,7,7.5,364.5,10.5,2.766760589262197
2021 W44,7625748864254.38,19.907407407407405,7.5,19,322,6,1.9147286821705425
2021 W45,6393976789422.361,24.537037037037038,12.5,4.5,366,18.5,5.18997756170531
2021 W46,7928663184329.182,33.333333333333336,7.5,7,377.5,13.5,3.5771929824561406
2021 W47,37396096418658.44,37.03703703703704,8,4,471,10,2.1231422505307855
2021 W48,8305742625713.768,47.22222222222222,8,4,328,12,3.6585365853658534
2021 W49,7853785464710.111,37.03703703703704,11.5,16.5,365.5,14.5,3.9567183462532296
2021 W50,31425472232904.73,47.47750086535133,19,11,350,24.5,6.971548534132774
2021 W51,14937746676402.32,54.629629629629626,81,28,692,89,12.861271676300579
2021 W52,38793242796757.47,97.22222222222221,271,47,1048,365,34.82824427480916
2022 W01,72676653600989.25,99.06542056074767,304.5,146.5,1241,402,32.63540452376987
2022 W02,40972919891950.234,93.25674974039461,270.5,158.5,1118,326.5,29.12818425638939
2022 W03,34919821877186.914,98.5981308411215,193,208,752.5,252,35.71849548744089
2022 W04,31302781735107.7,77.57009345794393,141.5,117,655,207.5,31.511677282377914
2022 W05,15841781973271.936,78.03738317757009,57,75.5,493.5,99.5,20.295987008062255
2022 W06,8256448083131.332,39.719626168224295,26.5,35,375,45,12.15180232934093
2022 W07,7007496641723.162,25.70093457943925,15,13,319.5,26,8.524185785336114
2022 W08,4667171396460.366,21.49532710280374,11.5,9,257,15,5.841913991520291
2022 W09,5549127735108.579,11.214953271028037,4.5,3.5,324.5,7.5,2.77593984962406
2022 W10,9470120615403.094,25.925925925925924,1.5,1.5,139.5,3,2.209602478058854
2022 W11,6791466725897.078,7.87037037037037,2.5,3,207,5.5,3.0568948891031824
2022 W12,8103537573241.695,22.916666666666668,1.5,1.5,167.5,3,1.7410714285714286
2022 W13,6838965239240.564,14.406318082788673,4,7,155.5,3.5,2.241927388321901
2022 W14,7423916449837.357,12.499999999999998,3,2.5,124.5,4.5,3.606017561983471
2022 W15,10986345843911.633,40.277777777777786,3.5,5,132.5,5,3.8285714285714283
2022 W16,8028417481003.721,31.48148148148148,7,4,133.5,7.5,5.669061517736866
2022 W17,8664525863560.366,34.25925925925926,7.5,3.5,149,9.5,6.805341551104263
2022 W18,9079048960187.03,43.80952380952381,15,1,168,13,7.738095238095238
2022 W19,10832460452193.293,50,8.5,8.5,149.5,14.5,9.657411553963277
2022 W20,14473599753814.734,75,19.5,12,159,23,14.252150366358713
2022 W21,15809800864296.021,66.2037037037037,22.5,18.5,154,25.5,17.185592185592185
2022 W22,16468417106207.84,43.51851851851852,21.5,16.5,162,27.5,16.476594105182045
2022 W23,20946571051107.527,84.72222222222223,26.5,20.5,168,30.5,17.975155279503106
2022 W24,16717640978341.451,77.77777777777779,29,18.5,162.5,36.5,22.58064516129032
2022 W25,18812115605574.4,89.35185185185185,38.5,24.5,175,49,28.000000000000004
2022 W26,18223002160445.707,92.59259259259258,30.5,18.5,150,46,30.76923076923077
2022 W27,20206631688138.594,88.42592592592592,20,17,96,30.5,31.999255398361882
2022 W28,24494889575863.4,85.18518518518519,35.5,30,191.5,52.5,27.397297740823806
2022 W29,25175751878928.684,91.2037037037037,35.5,25,181,50.5,28.27974870657798
2022 W30,21535985058922.027,93.51851851851852,28.5,41.5,149,42.5,28.498985801217035
2022 W31,22039903415504.19,78.7037037037037,27,15.5,138.5,41.5,29.275362318840582
2022 W32,24795555951238.64,93.05555555555556,33,22.5,138,37,26.733620277379245
2022 W33,25300281234511.586,79.62962962962962,45,40,182,56.5,30.782312925170068
2022 W34,63709897924789.516,99.07407407407408,47.5,47,164,44,27.117747117747115
2022 W35,32590097590392.426,95.26143790849673,24.5,17.5,138,27,19.54294720252167
2022 W36,21827254389184.14,84.25925925925925,2,9,52,4,7.6923076923076925
2022 W37,22028232782319.54,71.2962962962963,11.5,15.5,104.5,13,12.780743740795286
2022 W38,10200287198872.521,58.333333333333336,8,56.5,98.5,8,8.65567533291059
2022 W39,11105519833719.412,50.27527527527528,4,3,86,4.5,5.2163885497218825
2022 W40,17701895194533.844,76.85185185185185,5,8,85,7,8.235294117647058
2022 W41,14305083073253.379,75.92592592592592,3,2,83.5,5.5,7.0207020702070215
2022 W42,16162125694224.406,72.68518518518519,4,3.5,98,7,7.265894143438772
2022 W43,20317676611717.312,70.83333333333333,3.5,2,99,3.5,3.5306122448979593
2022 W44,13809065951125.664,68.87254901960785,5.5,5,95.5,5.5,5.789825970548862
2022 W45,18111785028048.824,76.85185185185185,4,1.5,88.5,6.5,7.549346321456037
2022 W46,12960728855522.406,72.22222222222223,2.5,2.5,92,3.5,3.7551744529863984
2022 W47,26801283930016.848,81.48148148148148,5,3,77,6,7.792207792207792
2022 W48,32798420428332.33,84.72222222222223,10.5,12.5,104,13,12.5417439703154
2022 W49,23291043803222.934,69.9074074074074,11,12.5,97.5,18.5,18.32195434179646
2022 W50,39908923027882.81,97.22222222222223,13,15.5,111.5,21.5,19.31561996779388
2022 W51,23756063890447.81,87.87878787878788,17.5,9,116.5,23,19.75022104332449
2023 W01,72817940562356.84,87.03703703703704,12,23,125,30,24
